Date,Fuel Type,avg_stock_pct,avg_sales_litres,avg_deliveries_litres
2020-02-22,Diesel,46.74552795138703,8103.20652173913,8940.309782608696
2020-02-22,Petrol,40.73955502418867,7184.739130434783,6339.29347826087
2020-02-22,Total,43.5932008044404,15287.91304347826,15279.592391304348
2020-02-23,Diesel,48.51627293533424,7051.576086956522,8254.934782608696
2020-02-23,Petrol,40.64375228218415,6425.760869565217,6357.972826086957
2020-02-23,Total,44.35222623527972,13477.358695652174,14612.96195652174
2020-02-24,Diesel,46.886306784642784,10741.005434782608,9493.630434782608
2020-02-24,Petrol,40.46539145681037,6777.260869565217,6562.483695652174
2020-02-24,Total,43.497330506449565,17518.222826086956,16056.114130434782
2020-02-25,Diesel,46.34222360745146,11013.83695652174,10645.304347826086
2020-02-25,Petrol,40.63722274818135,7031.027173913043,7115.902173913043
2020-02-25,Total,43.346002799208584,18044.847826086956,17761.255434782608
